Shares,URL,Text,Insider,Position,Transaction,Start Date,Ownership,Value,tic
64379,,Sale at price 317.95 - 328.77 per share.,VELAGA S. RAM,Officer,,2026-03-17,D,20819103.0,AVGO
64834,,Sale at price 317.97 - 328.70 per share.,KAWWAS CHARLIE B,Officer,,2026-03-17,D,20966675.0,AVGO
83682,,Sale at price 317.97 - 328.84 per share.,BRAZEAL MARK DAVID,Officer,,2026-03-17,D,27061694.0,AVGO
60154,,Sale at price 318.05 - 328.52 per share.,SPEARS KIRSTEN MARGRETA,Chief Financial Officer,,2026-03-17,D,19452716.0,AVGO
125000,,Stock Award(Grant) at price 0.00 per share.,VELAGA S. RAM,Officer,,2026-03-02,D,0.0,AVGO
125000,,Stock Award(Grant) at price 0.00 per share.,KAWWAS CHARLIE B,Officer,,2026-03-02,D,0.0,AVGO
151250,,Stock Award(Grant) at price 0.00 per share.,BRAZEAL MARK DAVID,Officer,,2026-03-02,D,0.0,AVGO
110640,,Stock Award(Grant) at price 0.00 per share.,SPEARS KIRSTEN MARGRETA,Chief Financial Officer,,2026-03-02,D,0.0,AVGO
30000,,Sale at price 346.99 - 347.66 per share.,BRAZEAL MARK DAVID,Officer,,2026-01-06,D,10413693.0,AVGO
70000,,Sale at price 346.75 - 348.28 per share.,TAN HOCK E,Chief Executive Officer,,2026-01-06,D,24310684.0,AVGO
30000,,Sale at price 346.64 - 347.82 per share.,SPEARS KIRSTEN MARGRETA,Chief Financial Officer,,2025-12-31,D,10434603.0,AVGO
25921,,Sale at price 352.07 per share.,BRAZEAL MARK DAVID,Officer,,2025-12-26,D,9126058.0,AVGO
100000,,Sale at price 339.11 - 349.85 per share.,TAN HOCK E,Chief Executive Officer,,2025-12-23,I,34564807.0,AVGO
1000,,Purchase at price 325.13 per share.,YOU HARRY L,Director,,2025-12-18,D,325129.0,AVGO
130000,,Sale at price 326.02 per share.,TAN HOCK E,Chief Executive Officer,,2025-12-18,I,42382600.0,AVGO
3163,,Sale at price 322.33 - 345.99 per share.,KAWWAS CHARLIE B,Officer,,2025-12-17,D,1053112.0,AVGO
38281,,Sale at price 322.29 - 345.01 per share.,BRAZEAL MARK DAVID,Officer,,2025-12-17,D,12542615.0,AVGO
6093,,Sale at price 322.58 - 346.49 per share.,SPEARS KIRSTEN MARGRETA,Chief Financial Officer,,2025-12-17,D,2028440.0,AVGO
400,,Stock Gift at price 0.00 per share.,PAGE JUSTINE F.,Director,,2025-12-16,D,0.0,AVGO
24527,,Sale at price 337.21 - 347.14 per share.,BRAZEAL MARK DAVID,Officer,,2025-12-16,D,8361500.0,AVGO
800,,Sale at price 361.89 per share.,PAGE JUSTINE F.,Director,,2025-12-15,D,289512.0,AVGO
68933,,Stock Gift at price 0.00 per share.,SAMUELI HENRY,Director,,2025-12-08,I,0.0,AVGO
320316,,Sale at price 398.14 - 407.01 per share.,SAMUELI HENRY,Director,,2025-12-08,I,128297553.0,AVGO
800,,Sale at price 331.14 per share.,PAGE JUSTINE F.,Director,,2025-11-14,D,264912.0,AVGO
800,,Sale at price 350.15 per share.,PAGE JUSTINE F.,Director,,2025-10-14,D,280120.0,AVGO
75678,,Stock Gift at price 0.00 per share.,SAMUELI HENRY,Director,,2025-09-24,I,0.0,AVGO
368797,,Sale at price 334.59 - 339.38 per share.,SAMUELI HENRY,Director,,2025-09-24,I,124620222.0,AVGO
100000,,Sale at price 339.22 - 340.26 per share.,TAN HOCK E,Chief Executive Officer,,2025-09-23,I,33958393.0,AVGO
6397,,Sale at price 343.93 - 365.32 per share.,KAWWAS CHARLIE B,Officer,,2025-09-17,D,2256460.0,AVGO
27204,,Sale at price 343.13 - 365.15 per share.,BRAZEAL MARK DAVID,Officer,,2025-09-17,D,9592387.0,AVGO
800,,Sale at price 360.00 per share.,PAGE JUSTINE F.,Director,,2025-09-15,D,288000.0,AVGO
3550,,Purchase at price 339.38 - 363.38 per share.,YOU HARRY L,Director,,2025-09-10,D,1227870.0,AVGO
148154,,Sale at price 336.67 per share.,TAN HOCK E,Chief Executive Officer,,2025-09-10,I,49879007.0,AVGO
148514,,Sale at price 336.67 per share.,TAN HOCK E,Chief Executive Officer,,2025-09-10,I,50000208.0,AVGO
800,,Sale at price 307.46 per share.,PAGE JUSTINE F.,Director,,2025-08-14,D,245968.0,AVGO
800,,Sale at price 274.30 per share.,PAGE JUSTINE F.,Director,,2025-07-14,D,219440.0,AVGO
49670,,Stock Gift at price 0.00 per share.,SAMUELI HENRY,Director,,2025-07-09,I,0.0,AVGO
3000,,Sale at price 265.13 per share.,DELLY GAYLA J,Director,,2025-06-26,D,795390.0,AVGO
40000,,Sale at price 268.29 per share.,TAN HOCK E,Chief Executive Officer,,2025-06-26,D,10731720.0,AVGO
9450,,Stock Gift at price 0.00 per share.,BRAZEAL MARK DAVID,Officer,,2025-06-25,D,0.0,AVGO
192024,,Stock Gift at price 0.00 per share.,SAMUELI HENRY,Director,,2025-06-25,I,0.0,AVGO
473898,,Sale at price 264.16 - 269.62 per share.,SAMUELI HENRY,Director,,2025-06-25,I,125737538.0,AVGO
50000,,Sale at price 262.10 per share.,BRAZEAL MARK DAVID,Officer,,2025-06-24,D,13105050.0,AVGO
36350,,Sale at price 261.27 per share.,SPEARS KIRSTEN MARGRETA,Chief Financial Officer,,2025-06-24,D,9497128.0,AVGO
40000,,Sale at price 262.17 per share.,TAN HOCK E,Chief Executive Officer,,2025-06-24,I,10486920.0,AVGO
50000,,Sale at price 253.28 per share.,BRAZEAL MARK DAVID,Officer,,2025-06-23,D,12664250.0,AVGO
190000,,Stock Gift at price 0.00 per share.,TAN HOCK E,Chief Executive Officer,,2025-06-23,D,0.0,AVGO
56310,,Sale at price 251.75 per share.,SPEARS KIRSTEN MARGRETA,Chief Financial Officer,,2025-06-18,D,14175986.0,AVGO
800,,Sale at price 250.35 per share.,PAGE JUSTINE F.,Director,,2025-06-16,D,200280.0,AVGO
117758,,Sale at price 252.91 per share.,TAN HOCK E,Chief Executive Officer,,2025-06-12,I,29782176.0,AVGO
10000,,Sale at price 252.88 per share.,KAWWAS CHARLIE B,Officer,,2025-06-11,I,2528810.0,AVGO
800,,Sale at price 230.19 per share.,PAGE JUSTINE F.,Director,,2025-05-14,D,184152.0,AVGO
1602,,Stock Award(Grant) at price 0.00 per share.,PAGE JUSTINE F.,Director,,2025-04-21,D,0.0,AVGO
1602,,Stock Award(Grant) at price 0.00 per share.,BRYANT DIANE M,Director,,2025-04-21,D,0.0,AVGO
1602,,Stock Award(Grant) at price 0.00 per share.,LOW CHECK KIAN,Director,,2025-04-21,D,0.0,AVGO
1602,,Stock Award(Grant) at price 0.00 per share.,HARTENSTEIN EDDY W.,Director,,2025-04-21,D,0.0,AVGO
1602,,Stock Award(Grant) at price 0.00 per share.,DELLY GAYLA J,Director,,2025-04-21,D,0.0,AVGO
1602,,Stock Award(Grant) at price 0.00 per share.,HAO KENNETH Y,Director,,2025-04-21,D,0.0,AVGO
1602,,Stock Award(Grant) at price 0.00 per share.,YOU HARRY L,Director,,2025-04-21,D,0.0,AVGO
1602,,Stock Award(Grant) at price 0.00 per share.,SAMUELI HENRY,Director,,2025-04-21,D,0.0,AVGO
800,,Sale at price 185.00 per share.,PAGE JUSTINE F.,Director,,2025-04-14,D,148000.0,AVGO
136248,,Stock Gift at price 0.00 per share.,SAMUELI HENRY,Director,,2025-03-26,I,0.0,AVGO
663976,,Sale at price 178.36 - 187.79 per share.,SAMUELI HENRY,Director,,2025-03-26,I,120576863.0,AVGO
30000,,Sale at price 194.65 per share.,BRAZEAL MARK DAVID,Officer,,2025-03-24,D,5839500.0,AVGO
60000,,Stock Award(Grant) at price 0.00 per share.,BRAZEAL MARK DAVID,Officer,,2025-03-14,D,0.0,AVGO
60000,,Stock Award(Grant) at price 0.00 per share.,SPEARS KIRSTEN MARGRETA,Chief Financial Officer,,2025-03-14,D,0.0,AVGO
150000,,Stock Award(Grant) at price 0.00 per share.,KAWWAS CHARLIE B,Officer,,2025-03-04,D,0.0,AVGO
262500,,Stock Award(Grant) at price 0.00 per share.,BRAZEAL MARK DAVID,Officer,,2025-03-04,D,0.0,AVGO
118760,,Stock Award(Grant) at price 0.00 per share.,SPEARS KIRSTEN MARGRETA,Chief Financial Officer,,2025-03-04,D,0.0,AVGO
4000,,Sale at price 229.64 per share.,HARTENSTEIN EDDY W.,Director,,2025-01-08,I,918548.0,AVGO
48000,,Sale at price 235.35 per share.,LOW CHECK KIAN,Director,,2025-01-06,D,11296800.0,AVGO
40000,,Sale at price 231.98 per share.,KAWWAS CHARLIE B,Officer,,2025-01-02,I,9279200.0,AVGO
20168,,Sale at price 238.79 per share.,BRAZEAL MARK DAVID,Officer,,2024-12-24,D,4815937.0,AVGO
130000,,Stock Gift at price 0.00 per share.,TAN HOCK E,Chief Executive Officer,,2024-12-24,D,0.0,AVGO
45000,,Sale at price 239.96 per share.,TAN HOCK E,Chief Executive Officer,,2024-12-24,D,10798200.0,AVGO
15000,,Sale at price 226.68 per share.,BRYANT DIANE M,Director,,2024-12-23,D,3400200.0,AVGO
12570,,Sale at price 229.62 per share.,SPEARS KIRSTEN MARGRETA,Chief Financial Officer,,2024-12-20,D,2886323.0,AVGO
1000,,Stock Gift at price 0.00 per share.,PAGE JUSTINE F.,Director,,2024-12-17,D,0.0,AVGO
6540,,Sale at price 240.00 per share.,YOU HARRY L,Director,,2024-12-17,D,1569626.0,AVGO
137795,,Stock Gift at price 0.00 per share.,SAMUELI HENRY,Director,,2024-12-16,I,0.0,AVGO
1477110,,Stock Award(Grant) at price 0.00 per share.,TAN HOCK E,Chief Executive Officer,,2024-11-06,D,0.0,AVGO
15950,,Sale at price 181.44 per share.,KAWWAS CHARLIE B,Officer,,2024-10-11,I,2894048.0,AVGO
18900,,Sale at price 181.45 per share.,BRAZEAL MARK DAVID,Officer,,2024-10-11,D,3429405.0,AVGO
18900,,Sale at price 182.88 per share.,BRAZEAL MARK DAVID,Officer,,2024-10-09,D,3456338.0,AVGO
20280,,Sale at price 177.10 per share.,BRAZEAL MARK DAVID,Officer,,2024-10-07,D,3591547.0,AVGO
40000,,Sale at price 172.32 - 174.87 per share.,TAN HOCK E,Chief Executive Officer,,2024-10-04,I,6943980.0,AVGO
10000,,Sale at price 167.14 per share.,TAN HOCK E,Chief Executive Officer,,2024-10-01,I,1671410.0,AVGO
750,,Sale at price 174.53 per share.,DELLY GAYLA J,Director,,2024-09-25,D,130898.0,AVGO
142988,,Stock Gift at price 0.00 per share.,SAMUELI HENRY,Director,,2024-09-25,I,0.0,AVGO
150000,,Sale at price 172.94 per share.,TAN HOCK E,Chief Executive Officer,,2024-09-24,I,25941000.0,AVGO
25200,,Sale at price 168.27 per share.,KAWWAS CHARLIE B,Officer,,2024-09-19,I,4240505.0,AVGO
50000,,Sale at price 163.37 per share.,TAN HOCK E,Chief Executive Officer,,2024-09-17,I,8168550.0,AVGO
7502,,Sale at price 17059.50 per share.,TAN HOCK E,Chief Executive Officer,,2024-07-11,I,127980369.0,AVGO
8200,,Stock Gift at price 0.00 per share.,TAN HOCK E,Chief Executive Officer,,2024-07-05,D,0.0,AVGO
15815,,Stock Gift at price 0.00 per share.,SAMUELI HENRY,Director,,2024-06-26,I,0.0,AVGO
30,,Stock Gift at price 0.00 per share.,PAGE JUSTINE F.,Director,,2024-06-21,D,0.0,AVGO
3450,,Stock Gift at price 0.00 per share.,TAN HOCK E,Chief Executive Officer,,2024-06-21,I,0.0,AVGO
254,,Sale at price 1750.26 per share.,PAGE JUSTINE F.,Director,,2024-06-20,D,444566.0,AVGO
2520,,Sale at price 1830.95 per share.,KAWWAS CHARLIE B,Officer,,2024-06-17,I,4613997.0,AVGO
312,,Sale at price 1800.00 per share.,PAGE JUSTINE F.,Director,,2024-06-17,D,561600.0,AVGO
40,,Sale at price 301.27 - 309.85 per share.,JOABAR RAYMOND D,Officer,,2026-03-13,I,12257.0,AXP
3032,,Sale at price 300.02 per share.,LIEBERMAN QUINN JESSICA,Officer,,2026-03-06,D,909661.0,AXP
14000,,Sale at price 338.98 - 341.95 per share.,JOABAR RAYMOND D,Officer,,2026-02-19,D,4769396.0,AXP
8134,,Sale at price 346.73 per share.,GROSFIELD HOWARD M,Officer,,2026-02-12,D,2820302.0,AXP
15000,,Sale at price 356.14 - 357.13 per share.,RADHAKRISHNAN RAVIKUMAR S,Chief Technology Officer,,2026-02-09,D,5348672.0,AXP
12737,,Sale at price 360.99 per share.,SEEGER LAUREEN E,Officer,,2026-02-09,D,4597930.0,AXP
27425,,Sale at price 350.01 per share.,MARRS ANNA,Officer,,2026-02-05,D,9599024.0,AXP
14992,,Conversion of Exercise of derivative security at price 173.61 per share.,MARRS ANNA,Officer,,2026-02-05,D,2602761.0,AXP
23385,,Sale at price 356.91 per share.,PICKETT DENISE,Officer,,2026-02-05,D,8346340.0,AXP
12660,,Conversion of Exercise of derivative security at price 173.61 per share.,PICKETT DENISE,Officer,,2026-02-05,D,2197903.0,AXP
26899,,Stock Award(Grant) at price 0.00 per share.,MARRS ANNA,Officer,,2026-01-30,D,0.0,AXP
24330,,Stock Award(Grant) at price 0.00 per share.,JOABAR RAYMOND D,Officer,,2026-01-30,D,0.0,AXP
9952,,Stock Award(Grant) at price 0.00 per share.,SKYLER JENNIFER,Officer,,2026-01-30,D,0.0,AXP
5875,,Stock Award(Grant) at price 0.00 per share.,LIEBERMAN QUINN JESSICA,Officer,,2026-01-30,D,0.0,AXP
20182,,Stock Award(Grant) at price 0.00 per share.,RADHAKRISHNAN RAVIKUMAR S,Chief Technology Officer,,2026-01-30,D,0.0,AXP
17280,,Stock Award(Grant) at price 0.00 per share.,GROSFIELD HOWARD M,Officer,,2026-01-30,D,0.0,AXP
17280,,Stock Award(Grant) at price 0.00 per share.,MARQUEZ RAFAEL,Officer,,2026-01-30,D,0.0,AXP
17280,,Stock Award(Grant) at price 0.00 per share.,LE CAILLEC CHRISTOPHE,Chief Financial Officer,,2026-01-30,D,0.0,AXP
9504,,Stock Award(Grant) at price 0.00 per share.,TABISH DOUGLAS J,Officer,,2026-01-30,D,0.0,AXP
39882,,Stock Award(Grant) at price 0.00 per share.,BUCKMINSTER DOUGLAS E,Officer,,2026-01-30,D,0.0,AXP
18800,,Stock Award(Grant) at price 0.00 per share.,HERENA MONIQUE,Officer,,2026-01-30,D,0.0,AXP
21012,,Stock Award(Grant) at price 0.00 per share.,PICKETT DENISE,Officer,,2026-01-30,D,0.0,AXP
9057,,Stock Award(Grant) at price 0.00 per share.,RUTLEDGE ELIZABETH,Officer,,2026-01-30,D,0.0,AXP
123033,,Stock Award(Grant) at price 0.00 per share.,SQUERI STEPHEN J,Chief Executive Officer,,2026-01-30,D,0.0,AXP
27140,,Stock Award(Grant) at price 0.00 per share.,SEEGER LAUREEN E,Officer,,2026-01-30,D,0.0,AXP
11750,,Stock Award(Grant) at price 0.00 per share.,MCNEAL GLENDA G,Officer,,2026-01-30,D,0.0,AXP
650,,Stock Gift at price 0.00 per share.,JOABAR RAYMOND D,Officer,,2025-12-12,I,0.0,AXP
1400,,Sale at price 384.93 per share.,JOABAR RAYMOND D,Officer,,2025-12-12,D,538902.0,AXP
13800,,Stock Gift at price 0.00 per share.,BUCKMINSTER DOUGLAS E,Officer,,2025-12-04,I,0.0,AXP
50000,,Sale at price 356.94 - 361.57 per share.,RUTLEDGE ELIZABETH,Officer,,2025-10-31,D,18010684.0,AXP
50000,,Conversion of Exercise of derivative security at price 65.43 per share.,RUTLEDGE ELIZABETH,Officer,,2025-10-31,D,3271500.0,AXP
2515,,Sale at price 355.61 per share.,TABISH DOUGLAS J,Officer,,2025-10-23,D,894359.0,AXP
5000,,Sale at price 350.73 per share.,PICKETT DENISE,Officer,,2025-10-22,D,1753650.0,AXP
28115,,Stock Gift at price 0.00 per share.,SQUERI STEPHEN J,Chief Executive Officer,,2025-10-21,I,0.0,AXP
112272,,Sale at price 329.03 - 330.43 per share.,SQUERI STEPHEN J,Chief Executive Officer,,2025-09-04,D,37033681.0,AXP
112272,,Conversion of Exercise of derivative security at price 131.68 per share.,SQUERI STEPHEN J,Chief Executive Officer,,2025-09-04,D,14783977.0,AXP
610,,Stock Gift at price 0.00 per share.,HERENA MONIQUE,Officer,,2025-09-03,D,0.0,AXP
8695,,Sale at price 325.88 per share.,HERENA MONIQUE,Officer,,2025-09-03,D,2833527.0,AXP
610,,Stock Gift at price 0.00 per share.,BUCKMINSTER DOUGLAS E,Officer,,2025-09-02,D,0.0,AXP
23505,,Sale at price 326.37 per share.,BUCKMINSTER DOUGLAS E,Officer,,2025-09-02,D,7671327.0,AXP
23505,,Conversion of Exercise of derivative security at price 55.09 per share.,BUCKMINSTER DOUGLAS E,Officer,,2025-09-02,D,1294890.0,AXP
78719,,Sale at price 294.83 - 297.88 per share.,SEEGER LAUREEN E,Officer,,2025-08-06,D,23371767.0,AXP
16998,,Conversion of Exercise of derivative security at price 177.06 per share.,SEEGER LAUREEN E,Officer,,2025-08-06,D,3009666.0,AXP
5500,,Sale at price 310.77 per share.,MARRS ANNA,Officer,,2025-07-29,D,1709235.0,AXP
50000,,Sale at price 309.27 - 309.62 per share.,MCNEAL GLENDA G,Officer,,2025-07-29,D,15474837.0,AXP
50000,,Conversion of Exercise of derivative security at price 65.43 per share.,MCNEAL GLENDA G,Officer,,2025-07-29,D,3271500.0,AXP
12000,,Sale at price 296.93 per share.,MARQUEZ RAFAEL,Officer,,2025-05-20,D,3563160.0,AXP
400,,Sale at price 302.44 per share.,JOABAR RAYMOND D,Officer,,2025-05-13,I,120976.0,AXP
9450,,Sale at price 275.50 per share.,GROSFIELD HOWARD M,Officer,,2025-05-06,D,2603475.0,AXP
3019,,Sale at price 264.66 per share.,MCNEAL GLENDA G,Officer,,2025-04-29,D,799009.0,AXP
23,,Purchase at price 150.01 - 261.56 per share.,JOABAR RAYMOND D,Officer,,2025-04-09,I,4054.0,AXP
3700,,Purchase at price 269.89 per share.,ANGELAKIS MICHAEL J,Director,,2025-03-07,D,998593.0,AXP
21955,,Sale at price 285.00 - 291.50 per share.,MARRS ANNA,President,,2025-03-04,D,6320504.0,AXP
16274,,Conversion of Exercise of derivative security at price 177.06 per share.,MARRS ANNA,President,,2025-03-04,D,2881474.0,AXP
3028,,Sale at price 296.43 per share.,LIEBERMAN QUINN JESSICA,Officer,,2025-02-26,D,897590.0,AXP
7391,,Sale at price 309.96 per share.,MCNEAL GLENDA G,Officer,,2025-02-11,D,2290914.0,AXP
50841,,Sale at price 318.25 - 320.52 per share.,SQUERI STEPHEN J,Chief Executive Officer,,2025-02-06,D,16241201.0,AXP
11121,,Sale at price 317.01 per share.,JOABAR RAYMOND D,Officer,,2025-02-05,D,3525468.0,AXP
9485,,Sale at price 319.17 per share.,RADHAKRISHNAN RAVIKUMAR S,Chief Technology Officer,,2025-02-05,D,3027327.0,AXP
22752,,Sale at price 318.69 per share.,PICKETT DENISE,Officer,,2025-02-05,D,7250835.0,AXP
13743,,Conversion of Exercise of derivative security at price 177.06 per share.,PICKETT DENISE,Officer,,2025-02-05,D,2433336.0,AXP
24398,,Stock Award(Grant) at price 316.42 per share.,MARRS ANNA,Officer,,2025-01-28,D,7720015.0,AXP
23856,,Stock Award(Grant) at price 316.42 per share.,JOABAR RAYMOND D,Officer,,2025-01-28,D,7548516.0,AXP
15179,,Sale at price 313.94 per share.,JOABAR RAYMOND D,Officer,,2025-01-28,D,4765295.0,AXP
15179,,Conversion of Exercise of derivative security at price 116.26 per share.,JOABAR RAYMOND D,Officer,,2025-01-28,D,1764711.0,AXP
8951,,Stock Award(Grant) at price 316.42 per share.,SKYLER JENNIFER,Officer,,2025-01-28,D,2832275.0,AXP
5760,,Stock Award(Grant) at price 316.42 per share.,LIEBERMAN QUINN JESSICA,Officer,,2025-01-28,D,1822579.0,AXP
26566,,Stock Award(Grant) at price 316.42 per share.,RADHAKRISHNAN RAVIKUMAR S,Chief Technology Officer,,2025-01-28,D,8406014.0,AXP
11859,,Stock Award(Grant) at price 316.42 per share.,GROSFIELD HOWARD M,Officer,,2025-01-28,D,3752425.0,AXP
11859,,Stock Award(Grant) at price 316.42 per share.,MARQUEZ RAFAEL,Officer,,2025-01-28,D,3752425.0,AXP
9318,,Stock Award(Grant) at price 316.42 per share.,LE CAILLEC CHRISTOPHE,Chief Financial Officer,,2025-01-28,D,2948402.0,AXP
9318,,Stock Award(Grant) at price 316.42 per share.,TABISH DOUGLAS J,Officer,,2025-01-28,D,2948402.0,AXP
38398,,Stock Award(Grant) at price 316.42 per share.,BUCKMINSTER DOUGLAS E,Officer,,2025-01-28,D,12149895.0,AXP
18434,,Stock Award(Grant) at price 316.42 per share.,HERENA MONIQUE,Officer,,2025-01-28,D,5832886.0,AXP
20602,,Stock Award(Grant) at price 316.42 per share.,PICKETT DENISE,Officer,,2025-01-28,D,6518885.0,AXP
8810,,Stock Award(Grant) at price 316.42 per share.,RUTLEDGE ELIZABETH,Officer,,2025-01-28,D,2787660.0,AXP
32787,,Stock Award(Grant) at price 316.42 per share.,WILLIAMS ANRE D.,Officer,,2025-01-28,D,10374463.0,AXP
103015,,Stock Award(Grant) at price 316.42 per share.,SQUERI STEPHEN J,Chief Executive Officer,,2025-01-28,D,32596006.0,AXP
26329,,Stock Award(Grant) at price 316.42 per share.,SEEGER LAUREEN E,Officer,,2025-01-28,D,8331022.0,AXP
9826,,Stock Award(Grant) at price 316.42 per share.,MCNEAL GLENDA G,Officer,,2025-01-28,D,3109143.0,AXP
6000,,Sale at price 303.48 per share.,LE CAILLEC CHRISTOPHE,Chief Financial Officer,,2024-11-27,D,1820880.0,AXP
8000,,Conversion of Exercise of derivative security at price 65.43 per share.,LE CAILLEC CHRISTOPHE,Chief Financial Officer,,2024-11-27,D,523440.0,AXP
863,,Stock Gift at price 0.00 per share.,BUCKMINSTER DOUGLAS E,Officer,,2024-11-22,D,0.0,AXP
1300,,Sale at price 287.70 per share.,HERENA MONIQUE,Officer,,2024-11-07,D,374010.0,AXP
170632,,Sale at price 285.49 - 288.05 per share.,SQUERI STEPHEN J,Chief Executive Officer,,2024-11-07,D,48897715.0,AXP
170632,,Conversion of Exercise of derivative security at price 97.98 - 100.96 per share.,SQUERI STEPHEN J,Chief Executive Officer,,2024-11-07,D,17029656.0,AXP
13111,,Sale at price 270.98 per share.,BUCKMINSTER DOUGLAS E,Officer,,2024-10-29,D,3552819.0,AXP
13111,,Conversion of Exercise of derivative security at price 83.30 per share.,BUCKMINSTER DOUGLAS E,Officer,,2024-10-29,D,1092146.0,AXP
77887,,Sale at price 270.26 per share.,WILLIAMS ANRE D.,Officer,,2024-10-22,D,21049741.0,AXP
107256,,Conversion of Exercise of derivative security at price 100.96 - 153.35 per share.,WILLIAMS ANRE D.,Officer,,2024-10-22,D,12669711.0,AXP
1102,,Stock Gift at price 0.00 per share.,BUCKMINSTER DOUGLAS E,Officer,,2024-06-13,D,0.0,AXP
2768,,Sale at price 240.68 per share.,PICKETT DENISE,Officer,,2024-05-22,D,666213.0,AXP
1568,,Conversion of Exercise of derivative security at price 153.35 per share.,PICKETT DENISE,Officer,,2024-05-22,D,240453.0,AXP
2655,,Sale at price 242.70 - 242.88 per share.,JOABAR RAYMOND D,Officer,,2024-05-20,D/I,644770.0,AXP
14802,,Sale at price 241.73 per share.,SKYLER JENNIFER,Officer,,2024-05-10,D,3578087.0,AXP
11754,,Conversion of Exercise of derivative security at price 117.28 per share.,SKYLER JENNIFER,Officer,,2024-05-10,D,1378509.0,AXP
3140,,Sale at price 232.36 per share.,LIEBERMAN QUINN JESSICA,Officer,,2024-05-06,D,729770.0,AXP
3592,,Sale at price 230.93 per share.,MARRS ANNA,Officer,,2024-05-03,D,829501.0,AXP
2240,,Conversion of Exercise of derivative security at price 153.35 per share.,MARRS ANNA,Officer,,2024-05-03,D,343504.0,AXP
117309,,Sale at price 232.34 - 232.76 per share.,BUCKMINSTER DOUGLAS E,Officer,,2024-05-02,D,27266830.0,AXP
117309,,Conversion of Exercise of derivative security at price 95.52 per share.,BUCKMINSTER DOUGLAS E,Officer,,2024-05-02,D,11205356.0,AXP
3025,,Stock Award(Grant) at price 238.92 per share.,MARRS ANNA,Officer,,2024-04-30,D,722733.0,AXP
4991,,Stock Award(Grant) at price 238.92 per share.,JOABAR RAYMOND D,Officer,,2024-04-30,D,1192450.0,AXP
1323,,Stock Award(Grant) at price 238.92 per share.,GROSFIELD HOWARD M,Officer,,2024-04-30,D,316091.0,AXP
189,,Stock Award(Grant) at price 238.92 per share.,MARQUEZ RAFAEL,Officer,,2024-04-30,D,45156.0,AXP
2117,,Stock Award(Grant) at price 238.92 per share.,PICKETT DENISE,Officer,,2024-04-30,D,505794.0,AXP
5747,,Stock Award(Grant) at price 238.92 per share.,WILLIAMS ANRE D.,Officer,,2024-04-30,D,1373073.0,AXP
2230,,Purchase at price 224.20 per share.,BUCKLEY MORTIMER J.,Director,,2026-03-03,D,499966.0,BA
1503,,Sale at price 233.78 per share.,AMULURU UMA M,Officer,,2026-02-24,D,351484.0,BA
13006,,Stock Award(Grant) at price 0.00 per share.,GERRY BRETT C.,Officer,,2026-02-17,D,0.0,BA
18788,,Stock Award(Grant) at price 0.00 per share.,MALAVE JESUS JR.,Chief Financial Officer,,2026-02-17,D,0.0,BA
28904,,Stock Award(Grant) at price 0.00 per share.,POPE STEPHANIE F,Officer,,2026-02-17,D,0.0,BA
5058,,Stock Award(Grant) at price 0.00 per share.,NELSON BRENDAN J.,Officer,,2026-02-17,D,0.0,BA
9248,,Stock Award(Grant) at price 0.00 per share.,MCKENZIE HOWARD E,Officer,,2026-02-17,D,0.0,BA
3721,,Stock Award(Grant) at price 0.00 per share.,CLEARY MICHAEL J,Officer,,2026-02-17,D,0.0,BA
7515,,Stock Award(Grant) at price 0.00 per share.,RAYMOND DAVID CHRISTOPHER,Officer,,2026-02-17,D,0.0,BA
